"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 10:49:32 GMT 2024","Sun Sep 01 10:49:34 GMT 2024","1492","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-Patio de Gale, Pra\xe7a do Com\xe9rcio, Lisbon, Portugal]",""
"passed","Sun Sep 01 10:48:51 GMT 2024","Sun Sep 01 10:48:52 GMT 2024","968","","test_2YandexAPI","","","","test_coords_from_geocode_and_geosearch_are_same[\u041c\u0443\u043b\u044c\u0442\u0438\u0432\u0441\u0435\u043b\u0435\u043d\u043d\u0430\u044f \u2116;%*]",""
"passed","Sun Sep 01 10:48:58 GMT 2024","Sun Sep 01 10:48:59 GMT 2024","502","","test_2YandexAPI","","","","test_find_2_pharmacies[*?:%]",""
"skipped","Sun Sep 01 10:49:38 GMT 2024","Sun Sep 01 10:49:40 GMT 2024","1450","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4]",""
"skipped","Sun Sep 01 10:49:41 GMT 2024","Sun Sep 01 10:49:42 GMT 2024","1010","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[$%^-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"passed","Sun Sep 01 10:48:40 GMT 2024","Sun Sep 01 10:48:42 GMT 2024","1342","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4-geocode-api_key_geocode-base_url_geocode-geocode-additional_params0]",""
"skipped","Sun Sep 01 10:49:08 GMT 2024","Sun Sep 01 10:49:09 GMT 2024","479","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-()-!!]",""
"passed","Sun Sep 01 10:49:14 GMT 2024","Sun Sep 01 10:49:16 GMT 2024","1431","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[hairdresser-\u0421\u041f\u0431, \u041c\u0430\u0432\u0437\u043e\u043b\u0435\u0439]",""
"skipped","Sun Sep 01 10:49:21 GMT 2024","Sun Sep 01 10:49:22 GMT 2024","955","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[McDonald's-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"passed","Sun Sep 01 10:48:42 GMT 2024","Sun Sep 01 10:48:43 GMT 2024","1325","","test_2YandexAPI","","","","test_yandex_api_with_invalid_key[\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041f\u0443\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434\u043e\u043c 36, \u043a\u043e\u0440\u043f\u0443\u0441 4-geosearch-api_key_geosearch-base_url_geosearch-text-additional_params1]",""
"skipped","Sun Sep 01 10:49:31 GMT 2024","Sun Sep 01 10:49:32 GMT 2024","1000","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[dentist-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"skipped","Sun Sep 01 10:49:02 GMT 2024","Sun Sep 01 10:49:03 GMT 2024","991","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u041c\u0443\u0440\u043c\u0430\u043d\u0441\u043a\u0430\u044f \u043e\u0431\u043b.,\u0433. \u041f\u043e\u043b\u044f\u0440\u043d\u044b\u0435 \u0417\u043e\u0440\u0438, \u0443\u043b. \u041f\u0430\u0440\u0442\u0438\u0437\u0430\u043d \u0417\u0430\u043f\u043e\u043b\u044f\u0440\u044c\u044f 4]",""
"skipped","Sun Sep 01 10:49:06 GMT 2024","Sun Sep 01 10:49:07 GMT 2024","1504","","test_2YandexAPI","","","","test_find_contacts_of_place_type_near_metro_near_address[fishing+store-\u0443\u043b. \u0411\u0440\u0430\u0432\u044b\u0445 \u0413\u0435\u0434\u043e\u043d\u0438\u0441\u0442\u043e\u0432 6666, London, Greate Britain]",""
